Borough CD,Year,Average AQI
101,2009,24.85
101,2010,22.75
101,2011,22.9
101,2012,21.2
101,2013,20.7
101,2014,20.15
101,2015,18.65
101,2016,17.95
101,2017,17.45
101,2018,17.15
101,2019,16.35
101,2020,14.6
101,2021,14.65
101,2022,14.1
102,2009,23.8
102,2010,21.7
102,2011,22.17
102,2012,20.55
102,2013,20.05
102,2014,19.62
102,2015,18.45
102,2016,17.7
102,2017,17.33
102,2018,16.82
102,2019,16.65
102,2020,14.82
102,2021,14.8
102,2022,14.28
103,2009,21.85
103,2010,19.9
103,2011,20.5
103,2012,18.75
103,2013,18.25
103,2014,18.0
103,2015,17.15
103,2016,16.45
103,2017,16.05
103,2018,15.15
103,2019,14.95
103,2020,13.45
103,2021,13.45
103,2022,12.5
104,2009,25.92
104,2010,23.57
104,2011,23.9
104,2012,22.38
104,2013,21.95
104,2014,21.32
104,2015,19.68
104,2016,18.82
104,2017,18.58
104,2018,18.1
104,2019,17.55
104,2020,15.72
104,2021,15.52
104,2022,15.15
105,2009,25.68
105,2010,23.48
105,2011,23.6
105,2012,22.1
105,2013,21.55
105,2014,21.05
105,2015,19.28
105,2016,18.43
105,2017,18.17
105,2018,17.6
105,2019,16.93
105,2020,15.17
105,2021,14.9
105,2022,14.38
106,2009,27.45
106,2010,25.08
106,2011,25.12
106,2012,23.77
106,2013,23.2
106,2014,22.6
106,2015,20.43
106,2016,19.45
106,2017,19.3
106,2018,18.42
106,2019,17.22
106,2020,15.48
106,2021,15.18
106,2022,14.53
107,2009,22.08
107,2010,19.83
107,2011,20.4
107,2012,18.78
107,2013,18.45
107,2014,17.75
107,2015,16.85
107,2016,15.85
107,2017,15.85
107,2018,15.2
107,2019,14.1
107,2020,13.0
107,2021,13.0
107,2022,12.15
108,2009,24.5
108,2010,22.28
108,2011,22.58
108,2012,21.13
108,2013,20.62
108,2014,20.15
108,2015,18.52
108,2016,17.52
108,2017,17.48
108,2018,16.6
108,2019,15.57
108,2020,14.2
108,2021,14.02
108,2022,13.05
109,2009,21.35
109,2010,19.18
109,2011,19.65
109,2012,17.87
109,2013,17.53
109,2014,16.77
109,2015,16.27
109,2016,15.07
109,2017,15.23
109,2018,14.57
109,2019,13.25
109,2020,12.63
109,2021,12.47
109,2022,11.53
110,2009,21.37
110,2010,19.23
110,2011,19.67
110,2012,17.92
110,2013,17.53
110,2014,16.82
110,2015,16.3
110,2016,15.1
110,2017,15.27
110,2018,14.6
110,2019,13.37
110,2020,12.72
110,2021,12.52
110,2022,11.53
111,2009,20.72
111,2010,18.73
111,2011,19.38
111,2012,17.63
111,2013,17.23
111,2014,16.78
111,2015,16.23
111,2016,15.18
111,2017,15.23
111,2018,14.15
111,2019,13.25
111,2020,12.6
111,2021,12.55
111,2022,11.42
112,2009,19.97
112,2010,17.87
112,2011,18.25
112,2012,16.45
112,2013,16.07
112,2014,15.22
112,2015,15.18
112,2016,13.77
112,2017,14.12
112,2018,13.43
112,2019,12.15
112,2020,12.17
112,2021,11.97
112,2022,11.6
201,2009,19.48
201,2010,17.75
201,2011,18.32
201,2012,16.55
