Borough CD,Year,Average AQI
101,2009,22.17
101,2010,24.0
101,2011,23.13
101,2012,22.73
101,2013,21.47
101,2014,20.73
101,2015,20.37
101,2016,20.83
101,2017,19.43
101,2018,19.37
101,2019,19.27
101,2020,17.5
101,2021,18.57
101,2022,18.2
102,2009,21.7
102,2010,23.72
102,2011,22.88
102,2012,22.45
102,2013,21.12
102,2014,20.45
102,2015,20.25
102,2016,20.67
102,2017,19.42
102,2018,19.25
102,2019,19.48
102,2020,17.77
102,2021,18.72
102,2022,18.3
103,2009,20.63
103,2010,22.7
103,2011,22.0
103,2012,21.5
103,2013,20.23
103,2014,19.53
103,2015,19.53
103,2016,19.83
103,2017,18.63
103,2018,18.27
103,2019,18.57
103,2020,17.0
103,2021,17.8
103,2022,17.47
104,2009,22.7
104,2010,24.63
104,2011,23.89
104,2012,23.56
104,2013,22.09
104,2014,21.23
104,2015,20.92
104,2016,21.24
104,2017,20.03
104,2018,19.99
104,2019,19.73
104,2020,18.37
104,2021,19.04
104,2022,18.66
105,2009,22.44
105,2010,24.3
105,2011,23.6
105,2012,23.22
105,2013,21.82
105,2014,20.97
105,2015,20.63
105,2016,20.88
105,2017,19.7
105,2018,19.58
105,2019,19.49
105,2020,17.9
105,2021,18.67
105,2022,18.31
106,2009,23.28
106,2010,25.09
106,2011,24.5
106,2012,24.21
106,2013,22.64
106,2014,21.66
106,2015,21.28
106,2016,21.37
106,2017,20.27
106,2018,20.04
106,2019,19.5
106,2020,18.24
106,2021,18.66
106,2022,18.46
107,2009,20.63
107,2010,22.8
107,2011,22.07
107,2012,21.73
107,2013,20.33
107,2014,19.37
107,2015,19.43
107,2016,19.58
107,2017,18.57
107,2018,18.37
107,2019,17.68
107,2020,17.1
107,2021,17.4
107,2022,17.2
108,2009,21.98
108,2010,23.97
108,2011,23.41
108,2012,23.09
108,2013,21.57
108,2014,20.54
108,2015,20.47
108,2016,20.49
108,2017,19.43
108,2018,19.23
108,2019,18.64
108,2020,17.83
108,2021,18.0
108,2022,17.88
109,2009,20.3
109,2010,22.57
109,2011,21.7
109,2012,21.42
109,2013,20.21
109,2014,19.04
109,2015,19.3
109,2016,19.38
109,2017,18.42
109,2018,18.04
109,2019,17.29
109,2020,17.11
109,2021,17.22
109,2022,17.04
110,2009,20.34
110,2010,22.6
110,2011,21.76
110,2012,21.48
110,2013,20.24
110,2014,19.1
110,2015,19.34
110,2016,19.4
110,2017,18.47
110,2018,18.09
110,2019,17.39
110,2020,17.19
110,2021,17.26
110,2022,17.09
111,2009,20.18
111,2010,22.47
111,2011,21.86
111,2012,21.44
111,2013,20.11
111,2014,19.09
111,2015,19.47
111,2016,19.43
111,2017,18.51
111,2018,17.97
111,2019,17.5
111,2020,17.23
111,2021,17.19
111,2022,17.2
112,2009,19.39
112,2010,21.84
112,2011,20.86
112,2012,20.68
112,2013,19.54
112,2014,18.48
112,2015,18.69
112,2016,18.82
112,2017,17.79
112,2018,17.52
112,2019,16.6
112,2020,16.72
112,2021,16.58
112,2022,16.84
201,2009,19.73
201,2010,22.12
201,2011,21.58
201,2012,21.13
201,2013,19.87
201,2014,18.83
201,2015,19.57
201,2016,19.47
201,2017,18.57
201,2018,18.38
201,2019,17.95
201,2020,17.73
201,2021,17.75
201,2022,17.77
202,2009,19.6
202,2010,22.05
202,2011,21.57
202,2012,21.12
202,2013,19.78
202,2014,18.82
202,2015,19.57
202,2016,19.43
202,2017,18.55
202,2018,18.43
202,2019,18.05
202,2020,17.88
202,2021,18.03
202,2022,18.0
203,2009,19.89
203,2010,22.3
203,2011,21.57
203,2012,21.28
203,2013,20.03
203,2014,19.02
203,2015,19.3
203,2016,19.27
203,2017,18.36
203,2018,18.07
203,2019,17.31
203,2020,17.33
203,2021,17.22
203,2022,17.39
204,2009,20.22
204,2010,22.58
204,2011,21.73
204,2012,21.47
204,2013,20.3
204,2014,19.2
204,2015,19.48
204,2016,19.45
204,2017,18.52
204,2018,18.22
204,2019,17.42
204,2020,17.35
204,2021,17.3
204,2022,17.38
205,2009,18.77
205,2010,21.4
205,2011,20.67
205,2012,20.53
205,2013,19.03
205,2014,18.43
205,2015,18.4
205,2016,18.57
205,2017,17.53
205,2018,17.5
205,2019,16.53
205,2020,16.87
205,2021,16.93
205,2022,16.77
206,2009,19.57
206,2010,22.07
206,2011,21.37
206,2012,21.13
206,2013,19.77
206,2014,18.9
206,2015,19.1
206,2016,19.13
206,2017,18.2
206,2018,17.93
206,2019,17.2
206,2020,17.33
206,2021,17.27
206,2022,17.37
207,2009,19.73
207,2010,22.25
207,2011,21.38
207,2012,21.23
207,2013,19.93
207,2014,19.07
207,2015,19.15
207,2016,19.27
207,2017,18.18
207,2018,17.98
207,2019,17.02
