Borough CD,Year,Average AQI
101,2009,28.5
101,2010,23.7
101,2011,26.35
101,2012,21.85
101,2013,22.95
101,2014,24.5
101,2015,20.7
101,2016,19.7
101,2017,19.75
101,2018,20.35
101,2019,18.7
101,2020,21.15
101,2021,16.8
101,2022,16.9
102,2009,27.43
102,2010,22.53
102,2011,25.7
102,2012,21.4
102,2013,22.68
102,2014,24.18
102,2015,20.62
102,2016,19.6
102,2017,19.65
102,2018,19.93
102,2019,19.32
102,2020,21.4
102,2021,16.92
102,2022,16.88
103,2009,25.55
103,2010,20.9
103,2011,24.4
103,2012,19.95
103,2013,21.05
103,2014,22.8
103,2015,19.5
103,2016,18.6
103,2017,18.5
103,2018,18.55
103,2019,17.7
103,2020,19.9
103,2021,15.8
103,2022,15.35
104,2009,29.37
104,2010,24.23
104,2011,26.97
104,2012,22.67
104,2013,24.22
104,2014,25.6
104,2015,21.6
104,2016,20.35
104,2017,20.9
104,2018,20.95
104,2019,20.08
104,2020,21.98
104,2021,17.35
104,2022,17.6
105,2009,29.23
105,2010,24.32
105,2011,26.87
105,2012,22.4
105,2013,23.68
105,2014,25.33
105,2015,21.3
105,2016,20.1
105,2017,20.55
105,2018,20.67
105,2019,19.55
105,2020,21.68
105,2021,16.98
105,2022,17.07
106,2009,30.83
106,2010,25.88
106,2011,28.05
106,2012,23.57
106,2013,25.02
106,2014,26.73
106,2015,22.33
106,2016,20.88
106,2017,21.68
106,2018,21.32
106,2019,19.77
106,2020,21.62
106,2021,17.05
106,2022,17.1
107,2009,25.55
107,2010,20.73
107,2011,24.02
107,2012,19.85
107,2013,21.63
107,2014,22.4
107,2015,19.0
107,2016,17.65
107,2017,18.6
107,2018,18.25
107,2019,16.75
107,2020,18.02
107,2021,14.8
107,2022,14.45
108,2009,27.88
108,2010,23.23
108,2011,25.93
108,2012,21.52
108,2013,23.05
108,2014,24.55
108,2015,20.65
108,2016,19.15
108,2017,20.15
108,2018,19.68
108,2019,18.2
108,2020,19.73
108,2021,15.9
108,2022,15.65
109,2009,24.95
109,2010,20.37
109,2011,23.77
109,2012,19.5
109,2013,21.07
109,2014,21.45
109,2015,18.43
109,2016,17.03
109,2017,18.35
109,2018,17.92
109,2019,16.05
109,2020,17.02
109,2021,14.22
109,2022,14.3
110,2009,24.95
110,2010,20.43
110,2011,23.8
110,2012,19.5
110,2013,21.03
110,2014,21.5
110,2015,18.47
110,2016,17.07
110,2017,18.42
110,2018,17.97
110,2019,16.17
110,2020,17.1
110,2021,14.27
110,2022,14.37
111,2009,24.12
111,2010,19.83
111,2011,23.45
111,2012,19.1
111,2013,20.53
111,2014,21.55
111,2015,18.63
111,2016,17.28
111,2017,18.27
111,2018,17.58
111,2019,16.12
111,2020,17.28
111,2021,14.4
111,2022,14.3
112,2009,23.9
112,2010,19.17
112,2011,22.43
112,2012,18.3
112,2013,19.75
112,2014,19.78
112,2015,17.37
112,2016,15.87
112,2017,17.48
112,2018,16.88
112,2019,14.93
112,2020,15.93
112,2021,13.6
112,2022,14.27
201,2009,22.55
201,2010,18.62
201,2011,22.38
201,2012,17.88
201,2013,18.95
201,2014,20.3
201,2015,18.1
201,2016,16.65
201,2017,18.07
201,2018,18.02
201,2019,16.35
201,2020,16.52
201,2021,14.5
201,2022,15.32
202,2009,22.02
202,2010,18.28
202,2011,22.05
202,2012,17.47
202,2013,18.38
202,2014,20.03
202,2015,17.93
202,2016,16.43
202,2017,17.95
202,2018,17.93
202,2019,16.25
202,2020,16.35
202,2021,14.7
202,2022,15.7
203,2009,23.82
203,2010,19.67
203,2011,22.95
203,2012,18.57
203,2013,19.7
203,2014,20.57
203,2015,18.07
203,2016,16.45
203,2017,18.13
203,2018,17.42
203,2019,15.43
203,2020,16.17
203,2021,13.87
203,2022,14.9
204,2009,24.5
204,2010,20.23
204,2011,23.48
204,2012,19.15
204,2013,20.4
204,2014,20.98
204,2015,18.35
204,2016,16.8
204,2017,18.35
204,2018,17.88
204,2019,15.85
204,2020,16.45
204,2021,14.05
204,2022,14.72
205,2009,22.1
205,2010,17.65
205,2011,20.7
205,2012,16.6
205,2013,17.7
205,2014,18.75
205,2015,16.75
205,2016,14.9
205,2017,17.2
205,2018,15.5
205,2019,13.55
205,2020,14.65
205,2021,12.85
205,2022,14.25
206,2009,23.25
206,2010,19.05
206,2011,22.3
206,2012,17.95
206,2013,18.95
206,2014,20.1
206,2015,17.8
206,2016,16.1
206,2017,18.0
206,2018,16.8
206,2019,14.9
206,2020,15.85
206,2021,13.7
206,2022,14.8
207,2009,24.07
207,2010,19.55
207,2011,22.6
207,2012,18.43
207,2013,19.6
207,2014,20.2
207,2015,17.97
207,2016,16.25
207,2017,18.17
207,2018,16.93
207,2019,14.85
207,2020,15.8
207,2021,13.65
207,2022,14.55
208,2009,21.45
208,2010,16.45
208,2011,19.8
208,2012,15.88
208,2013,17.2
208,2014,17.45
208,2015,15.7
208,2016,13.95
208,2017,16.1
208,2018,14.65
208,2019,12.73
208,2020,13.82
208,2021,12.18
208,2022,13.5
209,2009,21.4
209,2010,17.9
209,2011,21.4
209,2012,16.8
209,2013,17.45
209,2014,19.55
209,2015,17.2
209,2016,15.5
209,2017,17.35
209,2018,16.15
209,2019,14.45
209,2020,15.35
209,2021,13.45
209,2022,14.75
210,2009,20.18
210,2010,16.77
210,2011,20.22
210,2012,15.72
210,2013,16.18
210,2014,18.82
210,2015,16.72
